id,posted_date,posted_year,title,work_types,publication_classes,themes,product,center,source_byline,contributors,contributor_role,authors_roster_matched,roster_match_count,pdf,url
93933,2026-08-18,2026,Achievement and Growth Norms for Spanish MAP Reading Fluency Foundational Skills,Technical report,Technical / psychometric,Early learning; Item response theory; Measurement & scaling; Test design,MAP Reading Fluency,Measurement & Psychometrics,Wei He,Wei He,author,Wei He,1,https://www.nwea.org/uploads/Spanish-MRF-Foundational-Skills-Norms-Report-8-2026.pdf,https://www.nwea.org/research/publication/achievement-and-growth-norms-for-spanish-map-reading-fluency-foundational-skills-report/
97155,2026-08-17,2026,Technical Appendix for “Getting Algebra Placement Right: Expanding Opportunity and Strengthening Preparation”,Technical brief,Technical / psychometric,Empowering educators; Growth; Informing instruction; Math & STEM; Middle school,MAP Growth,NWEA Research,"Megan Kuhfeld, Daniel Long, Scott J. Peters",Megan Kuhfeld; Daniel Long; Scott J. Peters,author,Megan Kuhfeld; Daniel Long; Scott J. Peters,3,,https://www.nwea.org/research/publication/technical-appendix-for-getting-algebra-placement-right-expanding-opportunity-and-strengthening-preparation/
97152,2026-08-17,2026,Getting Algebra Placement Right: Expanding Opportunity and Strengthening Preparation,Research brief,Report / brief,Empowering educators; Growth; Informing instruction; Math & STEM; Middle school,MAP Growth,NWEA Research,"Megan Kuhfeld, Daniel Long, Scott J. Peters",Megan Kuhfeld; Daniel Long; Scott J. Peters,author,Megan Kuhfeld; Daniel Long; Scott J. Peters,3,https://www.nwea.org/uploads/getting-algebra-placement-right-expanding-opportunity-and-strengthening-preparation_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/getting-algebra-placement-right-expanding-opportunity-and-strengthening-preparation/
96927,2026-08-03,2026,How Post‑COVID Norm Shifts Change the Meaning of MAP Growth Metrics for School Accountability,White paper,Report / brief,COVID-19 & schools; Empowering educators; Growth; Guidance; Measurement & scaling; Student growth & accountability policies,MAP Growth,NWEA Research,Ayesha K. Hashim,Ayesha K. Hashim,author,Ayesha K. Hashim,1,https://www.nwea.org/uploads/how-post-covid-norm-shifts-change-the-meaning-of-map-growth-metrics-for-school-accountability_NWEA_whitePaper.pdf,https://www.nwea.org/research/publication/how-post%e2%80%91covid-norm-shifts-change-the-meaning-of-map-growth-metrics-for-school-accountability/
96887,2026-08-03,2026,Tech Appendix for Struggling adolescent readers left behind: Evidence of post-COVID-19 declines and pathways forward,Technical brief,Technical / psychometric,COVID-19 & schools; Empowering educators; Growth; Middle school; Reading & language arts,MAP Growth,NWEA Research,"Megan Kuhfeld, Naomi Duran, PhD, Karyn Lewis, Carrie Phillips, Samantha Musacchia",Megan Kuhfeld; Naomi Duran; Karyn Lewis; Carrie Phillips; Samantha Musacchia,author,Megan Kuhfeld; Naomi Duran; Karyn Lewis; Carrie Phillips; Samantha Musacchia,5,https://www.nwea.org/uploads/Adolescent-literacy_NWEA_Tech-appendix_2026.pdf,https://www.nwea.org/research/publication/tech-appendix-for-struggling-adolescent-readers-left-behind-evidence-of-post-covid-19-declines-and-pathways-forward/
96886,2026-08-03,2026,Struggling adolescent readers left behind: Evidence of post-COVID-19 declines and pathways forward,Research brief,Report / brief,COVID-19 & schools; Empowering educators; Growth; Middle school; Reading & language arts,MAP Growth,NWEA Research,"Megan Kuhfeld, Naomi Duran, PhD, Karyn Lewis, Carrie Phillips, Samantha Musacchia",Megan Kuhfeld; Naomi Duran; Karyn Lewis; Carrie Phillips; Samantha Musacchia,author,Megan Kuhfeld; Naomi Duran; Karyn Lewis; Carrie Phillips; Samantha Musacchia,5,https://www.nwea.org/uploads/struggling-adolescent-readers-left-behind-evidence-of-post-covid-19-declines-and-pathways-forward_NWEA_Research-brief.pdf,https://www.nwea.org/research/publication/struggling-adolescent-readers-left-behind-evidence-of-post-covid-19-declines-and-pathways-forward/
96532,2026-07-20,2026,Chronic absenteeism: A continued impediment to academic recovery,Research brief,Report / brief,COVID-19 & schools; Growth,MAP Growth,,"Sofia Postell, Emily Morton, Megan Kuhfeld",Sofia Postell; Emily Morton; Megan Kuhfeld,author,Sofia Postell; Emily Morton; Megan Kuhfeld,3,https://www.nwea.org/uploads/chronic-absenteeism-a-continued-impediment-to-academic-recovery_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/chronic-absenteeism-a-continued-impediment-to-academic-recovery/
96530,2026-07-20,2026,Technical Appendix for Chronic absenteeism: A continued impediment to academic recovery,Technical brief,Technical / psychometric,COVID-19 & schools; Growth,MAP Growth,NWEA Research,"Sofia Postell, Emily Morton, Megan Kuhfeld",Sofia Postell; Emily Morton; Megan Kuhfeld,author,Sofia Postell; Emily Morton; Megan Kuhfeld,3,https://www.nwea.org/uploads/Tech-appendix_chronic_absenteeism.pdf,https://www.nwea.org/research/publication/technical-appendix-for-chronic-absenteeism-a-continued-impediment-to-academic-recovery/
89129,2026-07-13,2026,2025 MAP Growth Norms Technical Manual,Technical report,Technical / psychometric,Measurement & scaling,MAP Growth,General,NWEA,NWEA,author,,0,https://www.nwea.org/uploads/MAP-Growth-Norms-Technical-Manual-1.pdf,https://www.nwea.org/research/publication/2025-map-growth-norms-technical-manual/
96333,2026-06-24,2026,Behind at the starting line: What Kindergarten test scores tell us about reaching proficiency in 3rd grade,Research brief,Report / brief,Early learning; Empowering educators; Growth; Informing instruction,MAP Growth,NWEA Research,"Megan Kuhfeld, Karyn Lewis, Emily Morton",Megan Kuhfeld; Karyn Lewis; Emily Morton,author,Megan Kuhfeld; Karyn Lewis; Emily Morton,3,https://www.nwea.org/uploads/Behind-the-starting-line-what-kindergartent-test-scores-tell-us-about-reaching-proficiency-in-third-grade_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/behind-at-the-starting-line-what-kindergarten-test-scores-tell-us-about-reaching-proficiency-in-3rd-grade/
96336,2026-06-24,2026,Technical Appendix for Behind at the starting line: What Kindergarten test scores tell us about reaching proficiency in 3rd grade,Technical brief,Technical / psychometric,Early learning; Empowering educators; Growth; Informing instruction,MAP Growth,NWEA Research,"Megan Kuhfeld, Karyn Lewis, Emily Morton",Megan Kuhfeld; Karyn Lewis; Emily Morton,author,Megan Kuhfeld; Karyn Lewis; Emily Morton,3,https://www.nwea.org/uploads/Tech-appendix_K3_ontrack_proficiency_FINAL.pdf,https://www.nwea.org/research/publication/technical-appendix-for-behind-at-the-starting-line-what-kindergarten-test-scores-tell-us-about-reaching-proficiency-in-3rd-grade/
94075,2026-04-27,2026,"Technical Appendix: Academically diverse classrooms, deeper needs — What teachers face after the pandemic",Technical brief,Technical / psychometric,COVID-19 & schools; Empowering educators; Growth; Informing instruction,MAP Growth,NWEA Research,"Megan Kuhfeld, Emily Morton, Karyn Lewis, Scott J. Peters",Megan Kuhfeld; Emily Morton; Karyn Lewis; Scott J. Peters,author,Megan Kuhfeld; Emily Morton; Karyn Lewis; Scott J. Peters,4,https://www.nwea.org/uploads/NWEA_Academic_Diversity_Research_Technical_Appendix_April2026.pdf,https://www.nwea.org/research/publication/technical-appendix-academically-diverse-classrooms-deeper-needs-what-teachers-face-after-the-pandemic/
94115,2026-04-27,2026,"Academically diverse classrooms, deeper needs: What teachers face after the pandemic",Research brief,Report / brief,COVID-19 & schools; Empowering educators; Growth; Informing instruction,MAP Growth,NWEA Research,"Megan Kuhfeld, Emily Morton, Karyn Lewis, Scott J. Peters",Megan Kuhfeld; Emily Morton; Karyn Lewis; Scott J. Peters,author,Megan Kuhfeld; Emily Morton; Karyn Lewis; Scott J. Peters,4,https://www.nwea.org/uploads/academically-diverse-classrooms-deeper-needs-what-teachers-face-after-the-pandemic_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/academically-diverse-classrooms-deeper-needs-what-teachers-face-after-the-pandemic/
93995,2026-04-20,2026,"The Middle School Science Course Landscape: Course Offerings, Enrollment Patterns, and Implications for Assessment",White paper,Report / brief,Equity; Math & STEM,MAP Growth,NWEA Research,"Naomi Duran, PhD, Susan Kowalski",Naomi Duran; Susan Kowalski,author,Naomi Duran; Susan Kowalski,2,https://www.nwea.org/uploads/the-middle-school-science-landscape-course-offerings-enrollment-patterns-and-implications-for-assessment_NWEA_whitePaper.pdf,https://www.nwea.org/research/publication/the-middle-school-science-course-landscape-course-offerings-enrollment-patterns-and-implications-for-assessment/
94004,2026-04-13,2026,A Practical Guide for Considering and Interpreting Test Score Differences Among Student Subgroups ,Guide,Practitioner guide,Empowering educators; Equity; Growth; Guidance,MAP Growth,NWEA Research,,,author,,0,https://www.nwea.org/uploads/a-practical-guide-for-considering-and-interpreting-test-score-differences-among-student-subgroups_NWEA_guide.pdf,https://www.nwea.org/research/publication/a-practical-guide-for-considering-and-interpreting-test-score-differences-among-student-subgroups/
93948,2026-04-03,2026,Spanish MAP Reading Fluency Technical Report,Technical report,Technical / psychometric,Early learning; Equity; Measurement & scaling; Test design,MAP Reading Fluency,Measurement & Psychometrics,"Rachel Hawthorne, Sara Velazquez, Fang Peng, Carmen Hall, John Newburn",Rachel Hawthorne; Sara Velazquez; Fang Peng; Carmen Hall; John Newburn,author,Fang Peng,1,https://www.nwea.org/uploads/Spanish-MAP-Reading-Fluency-Technical-Report_March2026_V1.pdf,https://www.nwea.org/research/publication/spanish-map-reading-fluency-technical-report/
93830,2026-04-02,2026,MAP Growth Spanish Technical Report- Addendum,Technical report,Technical / psychometric,Equity; Item response theory; Measurement & scaling; Test design,MAP Growth; MAP Spanish,Measurement & Psychometrics,"Patrick Meyer, Janice Johnson, Xueming (Sylvia) Li, Ann Hu, Carmen Hall",Patrick Meyer; Janice Johnson; Xueming (Sylvia) Li; Ann Hu; Carmen Hall,author,Patrick Meyer; Xueming (Sylvia) Li; Ann Hu,3,https://www.nwea.org/uploads/MAP-Growth-Technical-Report-Spanish-Addendum-2025.pdf,https://www.nwea.org/research/publication/map-growth-spanish-technical-report-addendum/
